[Seq]: 1 | [RecvTime]: 2025-12-30 17:05:19 | [SendTime]: 2025-12-30 17:05:28 | [TotalDuration]: 8.991s | [RecvDuration]: 6.208s | [ModelDuration]: 2.782s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 12 | [RecvTime]: 2025-12-30 17:13:22 | [SendTime]: 2025-12-30 17:13:24 | [TotalDuration]: 2.065s | [RecvDuration]: 0.642s | [ModelDuration]: 1.423s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 13 | [RecvTime]: 2025-12-30 17:13:24 | [SendTime]: 2025-12-30 17:13:26 | [TotalDuration]: 2.188s | [RecvDuration]: 0.761s | [ModelDuration]: 1.426s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 14 | [RecvTime]: 2025-12-30 17:13:26 | [SendTime]: 2025-12-30 17:13:28 | [TotalDuration]: 2.132s | [RecvDuration]: 0.627s | [ModelDuration]: 1.504s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 1 | [RecvTime]: 2025-12-30 17:15:05 | [SendTime]: 2025-12-30 17:15:12 | [TotalDuration]: 7.044s | [RecvDuration]: 5.666s | [ModelDuration]: 1.378s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 2 | [RecvTime]: 2025-12-30 17:15:12 | [SendTime]: 2025-12-30 17:15:14 | [TotalDuration]: 1.814s | [RecvDuration]: 0.463s | [ModelDuration]: 1.350s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 3 | [RecvTime]: 2025-12-30 17:15:14 | [SendTime]: 2025-12-30 17:15:16 | [TotalDuration]: 1.906s | [RecvDuration]: 0.502s | [ModelDuration]: 1.404s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 4 | [RecvTime]: 2025-12-30 17:15:16 | [SendTime]: 2025-12-30 17:15:18 | [TotalDuration]: 2.129s | [RecvDuration]: 0.630s | [ModelDuration]: 1.498s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 5 | [RecvTime]: 2025-12-30 17:15:18 | [SendTime]: 2025-12-30 17:15:20 | [TotalDuration]: 2.121s | [RecvDuration]: 0.694s | [ModelDuration]: 1.427s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 6 | [RecvTime]: 2025-12-30 17:15:20 | [SendTime]: 2025-12-30 17:15:22 | [TotalDuration]: 2.061s | [RecvDuration]: 0.618s | [ModelDuration]: 1.442s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 7 | [RecvTime]: 2025-12-30 17:15:22 | [SendTime]: 2025-12-30 17:15:24 | [TotalDuration]: 2.161s | [RecvDuration]: 0.687s | [ModelDuration]: 1.473s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 8 | [RecvTime]: 2025-12-30 17:15:24 | [SendTime]: 2025-12-30 17:15:26 | [TotalDuration]: 2.007s | [RecvDuration]: 0.590s | [ModelDuration]: 1.417s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
